Date,Open,High,Low,Close
11/03/2021,"1.3615","1.3692","1.3607","1.3684"
11/02/2021,"1.3667","1.3678","1.3605","1.3613"
11/01/2021,"1.3683","1.3740","1.3642","1.3665"
10/29/2021,"1.3790","1.3804","1.3668","1.3690"
10/28/2021,"1.3742","1.3815","1.3722","1.3793"
10/27/2021,"1.3768","1.3782","1.3709","1.3740"
10/26/2021,"1.3767","1.3830","1.3757","1.3767"
10/25/2021,"1.3797","1.3797","1.3741","1.3766"
10/22/2021,"1.3792","1.3816","1.3736","1.3758"
10/21/2021,"1.3822","1.3835","1.3775","1.3794"
10/20/2021,"1.3794","1.3835","1.3742","1.3825"
10/19/2021,"1.3729","1.3834","1.3723","1.3793"
10/18/2021,"1.3752","1.3767","1.3709","1.3728"
10/15/2021,"1.3675","1.3774","1.3667","1.3747"
10/14/2021,"1.3661","1.3735","1.3655","1.3674"
10/13/2021,"1.3586","1.3666","1.3575","1.3659"
10/12/2021,"1.3596","1.3638","1.3569","1.3588"
10/11/2021,"1.3617","1.3675","1.3584","1.3594"
10/08/2021,"1.3615","1.3656","1.3584","1.3617"
10/07/2021,"1.3581","1.3638","1.3571","1.3616"
10/06/2021,"1.3629","1.3638","1.3544","1.3586"
10/05/2021,"1.3610","1.3648","1.3584","1.3627"
10/04/2021,"1.3548","1.3641","1.3532","1.3608"
10/01/2021,"1.3475","1.3576","1.3434","1.3546"
09/30/2021,"1.3427","1.3517","1.3416","1.3474"
09/29/2021,"1.3535","1.3555","1.3412","1.3428"
09/28/2021,"1.3698","1.3718","1.3520","1.3537"
09/27/2021,"1.3681","1.3729","1.3658","1.3699"
09/24/2021,"1.3721","1.3737","1.3658","1.3676"
09/23/2021,"1.3629","1.3752","1.3612","1.3719"
09/22/2021,"1.3660","1.3690","1.3610","1.3618"
09/21/2021,"1.3657","1.3694","1.3641","1.3659"
09/20/2021,"1.3741","1.3755","1.3640","1.3658"
09/17/2021,"1.3791","1.3814","1.3728","1.3738"
09/16/2021,"1.3840","1.3854","1.3764","1.3790"
09/15/2021,"1.3813","1.3855","1.3792","1.3842"
09/14/2021,"1.3839","1.3912","1.3803","1.3810"
09/13/2021,"1.3831","1.3852","1.3797","1.3838"
09/10/2021,"1.3837","1.3890","1.3827","1.3833"
09/09/2021,"1.3771","1.3863","1.3753","1.3836"
09/08/2021,"1.3787","1.3792","1.3726","1.3770"
09/07/2021,"1.3836","1.3858","1.3768","1.3785"
09/06/2021,"1.3860","1.3873","1.3819","1.3838"
09/03/2021,"1.3833","1.3893","1.3817","1.3858"
09/02/2021,"1.3768","1.3840","1.3767","1.3834"
09/01/2021,"1.3754","1.3799","1.3731","1.3770"
08/31/2021,"1.3759","1.3807","1.3742","1.3756"
08/30/2021,"1.3769","1.3776","1.3733","1.3760"
08/27/2021,"1.3700","1.3782","1.3680","1.3761"
08/26/2021,"1.3765","1.3769","1.3689","1.3699"
08/25/2021,"1.3728","1.3768","1.3697","1.3763"
08/24/2021,"1.3719","1.3748","1.3693","1.3729"
08/23/2021,"1.3624","1.3734","1.3614","1.3722"
08/20/2021,"1.3638","1.3648","1.3602","1.3627"
08/19/2021,"1.3755","1.3761","1.3633","1.3641"
08/18/2021,"1.3743","1.3783","1.3727","1.3754"
08/17/2021,"1.3843","1.3850","1.3727","1.3740"
08/16/2021,"1.3866","1.3875","1.3828","1.3842"
08/13/2021,"1.3809","1.3876","1.3792","1.3866"
08/12/2021,"1.3870","1.3879","1.3795","1.3807"
08/11/2021,"1.3842","1.3887","1.3803","1.3869"
08/10/2021,"1.3847","1.3873","1.3827","1.3840"
08/09/2021,"1.3874","1.3895","1.3841","1.3846"
08/06/2021,"1.3931","1.3935","1.3860","1.3873"
08/05/2021,"1.3889","1.3950","1.3873","1.3928"
08/04/2021,"1.3916","1.3958","1.3885","1.3890"
08/03/2021,"1.3884","1.3940","1.3879","1.3917"
08/02/2021,"1.3910","1.3934","1.3875","1.3887"
07/30/2021,"1.3960","1.3984","1.3887","1.3901"
07/29/2021,"1.3902","1.3982","1.3897","1.3961"
07/28/2021,"1.3880","1.3912","1.3845","1.3903"
07/27/2021,"1.3818","1.3895","1.3767","1.3876"
07/26/2021,"1.3749","1.3834","1.3736","1.3817"
07/23/2021,"1.3755","1.3781","1.3720","1.3748"
07/22/2021,"1.3718","1.3787","1.3690","1.3768"
07/21/2021,"1.3628","1.3724","1.3591","1.3716"
07/20/2021,"1.3675","1.3690","1.3572","1.3630"
07/19/2021,"1.3774","1.3787","1.3654","1.3676"
07/16/2021,"1.3829","1.3863","1.3760","1.3768"
07/15/2021,"1.3860","1.3899","1.3804","1.3828"
07/14/2021,"1.3813","1.3893","1.3801","1.3862"
07/13/2021,"1.3881","1.3906","1.3800","1.3816"
07/12/2021,"1.3903","1.3911","1.3839","1.3882"
07/09/2021,"1.3789","1.3910","1.3758","1.3904"
07/08/2021,"1.3803","1.3808","1.3742","1.3788"
07/07/2021,"1.3800","1.3842","1.3755","1.3801"
07/06/2021,"1.3844","1.3899","1.3773","1.3798"
07/05/2021,"1.3825","1.3863","1.3818","1.3845"
07/02/2021,"1.3765","1.3845","1.3734","1.3830"
07/01/2021,"1.3832","1.3836","1.3752","1.3762"
06/30/2021,"1.3839","1.3873","1.3798","1.3831"
06/29/2021,"1.3883","1.3889","1.3814","1.3838"
06/28/2021,"1.3892","1.3940","1.3870","1.3884"
06/25/2021,"1.3919","1.3936","1.3871","1.3883"
06/24/2021,"1.3963","1.3987","1.3890","1.3922"
06/23/2021,"1.3950","1.4002","1.3923","1.3962"
06/22/2021,"1.3933","1.3965","1.3861","1.3951"
06/21/2021,"1.3810","1.3937","1.3786","1.3935"
06/18/2021,"1.3925","1.3945","1.3792","1.3803"
06/17/2021,"1.3988","1.4009","1.3895","1.3926"
06/16/2021,"1.4084","1.4134","1.3982","1.3987"
06/15/2021,"1.4111","1.4129","1.4035","1.4086"
06/14/2021,"1.4108","1.4124","1.4070","1.4108"
06/11/2021,"1.4177","1.4186","1.4095","1.4106"
06/10/2021,"1.4117","1.4180","1.4073","1.4176"
06/09/2021,"1.4157","1.4191","1.4109","1.4115"
06/08/2021,"1.4178","1.4187","1.4121","1.4154"
06/07/2021,"1.4158","1.4191","1.4111","1.4177"
06/04/2021,"1.4104","1.4201","1.4083","1.4156"
06/03/2021,"1.4171","1.4202","1.4087","1.4106"
06/02/2021,"1.4153","1.4184","1.4113","1.4170"
06/01/2021,"1.4215","1.4248","1.4147","1.4149"
05/31/2021,"1.4201","1.4219","1.4165","1.4213"
05/28/2021,"1.4206","1.4213","1.4138","1.4190"
05/27/2021,"1.4120","1.4219","1.4091","1.4203"
05/26/2021,"1.4154","1.4176","1.4112","1.4117"
05/25/2021,"1.4155","1.4211","1.4116","1.4149"
05/24/2021,"1.4153","1.4173","1.4112","1.4157"
05/21/2021,"1.4191","1.4234","1.4140","1.4150"
05/20/2021,"1.4113","1.4193","1.4102","1.4189"
05/19/2021,"1.4189","1.4202","1.4100","1.4114"
05/18/2021,"1.4137","1.4221","1.4130","1.4188"
05/17/2021,"1.4096","1.4148","1.4078","1.4138"
05/14/2021,"1.4050","1.4111","1.4036","1.4096"
05/13/2021,"1.4054","1.4079","1.4006","1.4051"
05/12/2021,"1.4142","1.4155","1.4050","1.4053"
05/11/2021,"1.4118","1.4167","1.4105","1.4141"
05/10/2021,"1.3986","1.4159","1.3980","1.4117"
